reference_id,bibliography_key,full_bibliography_entry,linked_book_note_ids
R001,Algaze 1993,"Algaze, Guillermo. 1993. The Uruk World System: The Dynamics of Expansion of Early Mesopotamian Civilization. Chicago: University of Chicago Press.",ch8-n75
R002,Allsen 2016,"Allsen, Thomas T. 2016. The Royal Hunt in Eurasian History. Philadelphia: University of Pennsylvania Press.",ch6-n60
R003,Alt 2018,"Alt, Susan. M. 2018. Cahokia’s Complexities. Tuscaloosa: University of Alabama Press.",ch11-n34 | ch11-n35 | ch11-n36 | ch11-n37
R004,Ambrose 2003,"Ambrose, Stanley H., Jane Buikstra and Harold W. Krueger (2003). ‘Status and gender differences in diet at Mound 72, Cahokia, revealed by isotopic analysis of bone.’ Journal of Anthropological Archaeology 22 (3): 217–26.",ch11-n38 | ch11-n40
R005,Anthony 2007,"Anthony, David. W. 2007. The Horse, the Wheel, and Language: How Bronze-Age Riders from the Steppes Shaped the Modern World. Princeton, NJ and Oxford: Princeton University Press.",ch8-n21
R006,Arbuckle 2013,"Arbuckle, Benjamin S. 2013. ‘The late adoption of cattle and pig husbandry in Neolithic Central Turkey.’ Journal of Archaeological Science 40: 1805–15.",ch6-n20
R007,Ascher 2004,"Ascher, Marcia. 2004. Mathematics Elsewhere: An Exploration of Ideas Across Cultures. Princeton, NJ: Princeton University Press.",ch8-n37
R008,Ashmore 2015,"Ashmore, Wendy. 2015. ‘Contingent acts of remembrance: royal ancestors of Classic Maya Copan and Quirigua.’ Ancient Mesoamerica 26: 213–31.",ch9-n14
R009,Asouti 2006,"Asouti, Eleni. 2006. ‘Beyond the Pre-Pottery Neolithic-B interaction sphere.’ Journal of World Prehistory 20: 87–126.",ch6-n24
R010,Atkins 2002,"Atkins, Sandra Erin. 2002. ‘The Formation of the League of the Haudenosaunee (Iroquois): Interpreting the Archaeological Record through the Oral Narrative Gayanashagowa.’ Master’s thesis, Trent University.",ch11-n75
R011,Aubert 2018,"Aubert, M. et al. 2018. ‘Palaeolithic cave art in Borneo.’ Nature 564: 254–7.",ch3-n13 | ch3-n15
R012,Ayad 2009,"Ayad, Mariam F. 2009. God’s Wife, God’s Servant: The God’s Wife of Amun (c.740–525 bc). London and New York: Routledge.",ch10-n34 | ch10-n35
R013,Bagley 1999,"Bagley, Robert. 1999. ‘Shang archaeology.’ In Loewe and Shaughnessy (eds), pp. 124–231.",ch10-n104 | ch10-n105 | ch10-n106 | ch8-n105 | ch8-n106
R014,Bahrani 2002,"Bahrani, Zeinab. 2002. ‘Performativity and the image: narrative, representation and the Uruk vase.’ In E. Ehrenberg (ed.), Leaving No Stones Unturned: Essays on the Ancient Near East and Egypt in Honor of Donald P. Hansen. Winona Lake, Indiana: Eisenbrauns, pp. 15–22.",ch8-n73
R015,Baines 1995,"Baines, John. 1995. ‘Origins of Egyptian kingship.’ In D. O’Connor and D. Silverman (eds), Ancient Egyptian Kingship. Leiden, New York and Cologne: Brill, pp. 95–156.",ch10-n83
R016,Baires 2014,"Baires, Sarah E. 2014. ‘Cahokia’s Rattlesnake Causeway.’ Midcontinental Journal of Archaeology 39 (2): 145–62.",ch11-n31
R017,Balsera 2008,"Balsera, Viviana Díaz. 2008. ‘Celebrating the rise of a new sun: the Tlaxcalans conquer Jerusalem in 1539.’ Estudios de cultura Nahuatl 39: 311–30.",ch9-n65
R018,Bamann 1992,"Bamann, Susan et al. 1992. ‘Iroquoian archaeology.’ Annual Review of Anthropology 21: 435–60.",ch11-n76
R019,Bartash 2015,"Bartash, Vitali. 2015. ‘Children in institutional households of Late Uruk period Mesopotamia.’ Zeitschrift für Assyriologie 105 (2): 131–8.",ch8-n70
R020,Bellwood 2005,"Bellwood, Peter. 2005. First Farmers: The Origins of Agricultural Societies. Malden, MA and Oxford: Blackwell.",ch7-n35 | ch7-n36
R021,Benson 2009,"Benson, Larry, Timothy R. Pauketat and Edwin Cook. 2009. ‘Cahokia’s boom and bust in the context of climate change.’ American Antiquity 74: 467–83.",ch11-n34
R022,Bestock 2008,"Bestock, Laurel D. 2008. ‘The Early Dynastic funerary enclosures of Abydos.’ Archéo-Nil 18: 43–59.",ch10-n75 | ch10-n76
R023,Birch 2015,"Birch, Jennifer. 2015. ‘Current research on the historical development of Northern Iroquoian societies.’ Journal of Archaeological Research 23: 263–323.",ch11-n76
R024,Blackburn 2000,"Blackburn, Carole. 2000. Harvest of Souls: The Jesuit Missions and Colonialism in North America, 1632–1650. Montreal and Kingston: McGill-Queen’s University Press.",ch2-n27 | ch2-n28
R025,Blanton 1996,"Blanton, Richard E., Gary Feinman, Stephen A. Kowalewski and Peter N. Peregrine. 1996. ‘A dual-processual theory for the evolution of Mesoamerican civilization.’ Current Anthropology 37 (1): 1–14.",ch9-n41
R026,Blanton 1998,"Blanton, Richard E. 1998. ‘Beyond centralization: steps toward a theory of egalitarian behaviour in archaic states.’ In G. A. Feinman and J. Marcus (eds), Archaic States. Santa Fe: School of American Research, pp. 135–72.",ch9-n41
