mention_id,settlement_id,canonical_name,matched_aliases,paragraph_id,source_line_start,source_line_end,section,section_kind,chapter_number,complete_paragraph_text,book_note_ids,book_note_texts,bibliography_keys,full_bibliography_entries
M0001,S001,Quebec City,Quebec,L0624,624,624,Chapter 2: Wicked Liberty,chapter,2,"In political terms, then, French and Americans were not arguing about equality but about freedom. About the only specific reference to political equality that appears in the seventy-one volumes of The Jesuit Relations occurs almost as an aside, in an account of an event in 1648. It happened in a settlement of Christianized Wendat near the town of Quebec. After a disturbance caused by a shipload of illegal liquor finding its way into the community, the governor persuaded Wendat leaders to agree to a prohibition of alcoholic beverages, and published an edict to that effect – crucially, the governor notes, backed up by threat of punishment. Father Lallemant, again, records the story. For him, this was an epochal event:",,,,
M0002,S001,Quebec City,Quebec,L0650,650,650,Chapter 2: Wicked Liberty,chapter,2,"By the mid seventeenth century, legal and political thinkers in Europe were beginning to toy with the idea of an egalitarian State of Nature; at least in the minimal sense of a default state that might be shared by societies which they saw as lacking government, writing, religion, private property or other significant means of distinguishing themselves from one another. Terms like ‘equality’ and ‘inequality’ were just beginning to come into common usage in intellectual circles – around the time, indeed, that the first French missionaries set out to evangelize the inhabitants of what are now Nova Scotia and Quebec.27 Europe’s reading public was growing increasingly curious about what such primordial societies might have been like. But they had no particular disposition to imagine men and women living in a State of Nature as especially ‘noble’, let alone as rational sceptics and champions of individual liberty.28 This latter perspective was the product of a dialogic encounter.",ch2-n27 | ch2-n28,"They were also unevenly accepted. Most Jesuits still subscribed to the old Renaissance doctrine that ‘savages’ had once been of a higher level of grace and of civilization, and had degenerated (Blackburn 2000: 69). | A comprehensive review of the literature by Ellingson (2001) finds the view that European observers regularly romanticized those they considered savages to be entirely unfounded; even the most positive accounts tended to be fairly nuanced, recognizing both virtues and vices.",Blackburn 2000 | Ellingson 2001,"Blackburn, Carole. 2000. Harvest of Souls: The Jesuit Missions and Colonialism in North America, 1632–1650. Montreal and Kingston: McGill-Queen’s University Press. | Ellingson, Ter. 2001. The Myth of the Noble Savage. Berkeley: University of California Press."
M0003,S001,Quebec City,Quebec,L1086,1086,1086,Chapter 3: Unfreezing the Ice Age,chapter,3,"Radin himself was considered something of an oddball by his contemporaries (he always avoided getting a proper academic job; the legend in Chicago was that when once given a teaching fellowship there, he was so intimidated before his first lecture that he immediately marched out to a nearby highway and contrived to get his leg broken by a car, then spent the rest of the term happily reading in the hospital). Perhaps not coincidentally, what really struck him about the ‘primitive’ societies he was most familiar with was their tolerance of eccentricity. This, he concluded, was simply the logical extension of that same rejection of coercion that so impressed the Jesuits in Quebec. If, he noted, a Winnebago decided that gods or spirits did not really exist and refused to perform rituals meant to appease them, or even if he declared the collective wisdom of the elders wrong and invented his own personal cosmology (and both these things did, quite regularly, happen), such a sceptic would definitely be made fun of, while his closest friends and family might worry lest the gods punish him in some way. However, it would never occur to them to punish him, or that anyone should try to force him into conformity – for instance, by blaming him for a bad hunt and therefore refusing to share food with him until he agreed to perform the usual rituals.",,,,
M0004,S001,Quebec City,Quebec,L4172,4172,4172,Chapter 11: Full Circle,chapter,11,"Let us start with the available oral traditions. These are unfortunately somewhat limited. During the late sixteenth and early seventeenth centuries, Iroquoia was divided between a number of shifting political coalitions and confederacies of which the most prominent were the Wendat (Huron), based in what’s now Quebec; the Five Nations or Haudenosaunee (often referred to as ‘League Iroquois’), distributed across what’s now upstate New York; and an Ontario-based confederation that the French referred to as the ‘Neutrals’. The Wendat referred to this last as Attiwandaronk – which literally means ‘those whose speech is not quite right’. We don’t actually know what these Neutrals called themselves (clearly it wasn’t that); but according to early accounts, they were by far the most numerous and powerful, at least until their society was devastated by famine and disease in the 1630s and 1640s. Afterwards the survivors were absorbed by the Seneca, given names and thus incorporated in one or other Seneca clan.",,,,
M0005,S001,Quebec City,Quebec,L4174,4174,4174,Chapter 11: Full Circle,chapter,11,"A similar fate befell the Wendat Confederation, whose power had been decisively broken in the year Kandiaronk was born, 1649, when they were scattered or absorbed during the notorious ‘Beaver Wars’. In Kandiaronk’s own lifetime the remaining Wendat were leading a fairly precarious existence: partly driven north towards Quebec; partly under the protection of a French fort in a place called Michilimackinac, near Lake Michigan. Kandiaronk himself spent much of his life trying to put the confederation’s pieces back together and, according to oral histories at least, attempting to found a coalition that would unite the warring nations against the invaders. In this he failed. As a result, we don’t actually know the stories told by members of any of these other great confederacies about the origins of their political institutions. By the time oral histories began to be written down in the nineteenth century, only the Haudenosaunee remained.",,,,
M0006,S001,Quebec City,Quebec,L4198,4198,4198,Chapter 11: Full Circle,chapter,11,"Any member of an Iroquoian society given an order would have fiercely resisted it as a threat to their personal autonomy – but the one exception to this norm was, precisely, dreams.73 One Huron-Wendat chief gave away his prized European cat, which he had carried by canoe all the way from Quebec, to a woman who dreamed she could only be cured by owning it (Iroquoians also feared becoming the victims of witchcraft practised consciously or unconsciously by people who envied them). Dreams were treated as if they were commands, delivered either by one’s own soul or possibly, in the case of a particularly vivid or portentous dream, by some greater spirit. The spirit might be the Creator or some other spirit, perhaps entirely unknown. Dreamers could become prophets – if only, usually, for a relatively brief period of time.74 During that time, however, their orders had to be obeyed. (Needless to say, there were few more terrible crimes than to falsify a dream.)",ch11-n73 | ch11-n74,"Ibid.: 137. | Fremin in Wallace (1958: 235): ‘The Iroquois have, properly speaking, only a single Divinity – the dream. To it they render their submission, and follow all its orders with the utmost exactness. The Tsonnontouens [Seneca] are more attached to this superstition than any of the others; their Religion in this respect becomes even a matter of scruple; whatever it be that they think they have done in their dreams, they believe themselves absolutely obliged to execute at the earliest moment. The other nations content themselves with observing those of their dreams which are the most important; but this people, which has the reputation of living more religiously than its neighbors, would think itself guilty of a great crime if it failed in its observance of a single dream. The people think only of that, they talk about nothing else, and all their cabins are filled with their dreams…Some have been known to go as far as Quebec, traveling a hundred and fifty leagues, for the sake of getting a dog, that they had dreamed of buying there…’. Wallace argues that this is a direct psychological consequence of the stoicism and importance of personal freedom and autonomy in Iroquoian societies. See also Blau 1963; Graeber 2001: 136–9.",Wallace 1958 | Blau 1963 | Graeber 2001,"Wallace, Anthony F. C. 1958. ‘Dreams and the wishes of the soul: a type of psychoanalytic theory among the seventeenth century Iroquois.’ American Anthropologist (N.S.) 60 (2): 234–48. | Blau, Harold. 1963. ‘Dream guessing: a comparative analysis.’ Ethnohistory 10: 233–49. | Graeber, David. 2001. Toward an Anthropological Theory of Value: The False Coin of Our Own Dreams. New York: Palgrave."
M0007,S001,Quebec City,Quebec,L6160,6160,6160,Notes to Chapter 11: Full Circle,notes,11,"74. Fremin in Wallace (1958: 235): ‘The Iroquois have, properly speaking, only a single Divinity – the dream. To it they render their submission, and follow all its orders with the utmost exactness. The Tsonnontouens [Seneca] are more attached to this superstition than any of the others; their Religion in this respect becomes even a matter of scruple; whatever it be that they think they have done in their dreams, they believe themselves absolutely obliged to execute at the earliest moment. The other nations content themselves with observing those of their dreams which are the most important; but this people, which has the reputation of living more religiously than its neighbors, would think itself guilty of a great crime if it failed in its observance of a single dream. The people think only of that, they talk about nothing else, and all their cabins are filled with their dreams…Some have been known to go as far as Quebec, traveling a hundred and fifty leagues, for the sake of getting a dog, that they had dreamed of buying there…’. Wallace argues that this is a direct psychological consequence of the stoicism and importance of personal freedom and autonomy in Iroquoian societies. See also Blau 1963; Graeber 2001: 136–9.",ch11-n74,"Fremin in Wallace (1958: 235): ‘The Iroquois have, properly speaking, only a single Divinity – the dream. To it they render their submission, and follow all its orders with the utmost exactness. The Tsonnontouens [Seneca] are more attached to this superstition than any of the others; their Religion in this respect becomes even a matter of scruple; whatever it be that they think they have done in their dreams, they believe themselves absolutely obliged to execute at the earliest moment. The other nations content themselves with observing those of their dreams which are the most important; but this people, which has the reputation of living more religiously than its neighbors, would think itself guilty of a great crime if it failed in its observance of a single dream. The people think only of that, they talk about nothing else, and all their cabins are filled with their dreams…Some have been known to go as far as Quebec, traveling a hundred and fifty leagues, for the sake of getting a dog, that they had dreamed of buying there…’. Wallace argues that this is a direct psychological consequence of the stoicism and importance of personal freedom and autonomy in Iroquoian societies. See also Blau 1963; Graeber 2001: 136–9.",Wallace 1958 | Blau 1963 | Graeber 2001,"Wallace, Anthony F. C. 1958. ‘Dreams and the wishes of the soul: a type of psychoanalytic theory among the seventeenth century Iroquois.’ American Anthropologist (N.S.) 60 (2): 234–48. | Blau, Harold. 1963. ‘Dream guessing: a comparative analysis.’ Ethnohistory 10: 233–49. | Graeber, David. 2001. Toward an Anthropological Theory of Value: The False Coin of Our Own Dreams. New York: Palgrave."
M0008,S002,Cholula,Cholula,L3166,3166,3166,Chapter 9: Hiding in Plain Sight,chapter,9,"In his Five Letters of Relation, written between 1519 and 1526, Hernán Cortés recounts his entry to the mountain-ringed Valley of Puebla, on the southern tip of the Mexican altiplano. The valley at that time sheltered numerous native cities, of which the largest included pyramid-studded Cholula, and also the city of Tlaxcala. It was indeed in Tlaxcala that Cortés found local allies who fought alongside him, advancing first on Cholula and then going on to defeat the armies of Moctezuma the Younger and lay waste to the Aztec capital of Tenochtitlan, in the neighbouring Valley of Mexico. Cortés estimated the population of Tlaxcala and its rural dependencies at 150,000. ‘There is a market in this city,’ he reported back to Charles V, ‘in which more than thirty thousand people are occupied in buying and selling,’ and the province ‘contains many wide-spreading fertile valleys all tilled and sown, no part of it being left wild, and measures some ninety leagues in circumference’. Also, the ‘order of government so far observed among the people resembles very much the republics of Venice, Genoa, and Pisa for there is no supreme overlord.’45",ch9-n45,Cortés 1928 [1520]: 51.,Cortés 1928,"Cortés, Hernando. 1928. Five Letters, 1519–1526. London: Routledge."
M0009,S002,Cholula,Cholula,L3182,3182,3182,Chapter 9: Hiding in Plain Sight,chapter,9,"How, exactly, did the Tlaxcalteca arrive at a decision to ally with Cortés on the field of battle, thereby ensuring the Spaniards’ victory over the Aztec Empire? It is clear the matter was fraught and deeply divisive (as it was in other Pueblan cities as well: in Cholula, for example, the same dilemma occasioned a rupture between the leaders of six calpolli – urban wards – three of whom took the others hostage, whereupon the latter absconded to Tlaxcala).48 In Tlaxcala itself, though, the argument took a very different form to what happened in Cholula.",ch9-n48,"In sixteenth-century Mexican city-states (or altepetl), these urban wards called calpolli enjoyed considerable autonomy. Calpolli were ideally organized into symmetrical sets, with reciprocal rights and duties. The city as a whole worked on the basis of each calpolli taking its turn to fulfil the obligations of municipal government, rendering its share of tribute, workers for corvée service and personnel to staff the higher ranks of political office, including – in the case of royal cities – the office of tlatoani (king, or literally ‘speaker’). Special land allotments often went along with official roles, to support the incumbent administrator, and had to be surrendered at the end of a term. This opened up positions of authority to those who lacked hereditary estates. Calpolli also existed outside cities – in rural settlements and small towns – where they may have corresponded more closely to extended kin units; within cities they were often defined administratively by their shared responsibilities for delivering tithes, taxes and corvée, but also sometimes along ethnic or occupational lines, or in terms of shared religious duties, or even origin myths. Rather like the English term ‘neighbourhood’, calpolli seems to have become a nebulous concept in the modern scholarly literature, potentially covering an enormous variety of social forms and units; see Lockhart 1985; Fargher et al. 2010; Smith 2012: 135–6 and passim.",Lockhart 1985 | Fargher 2010 | Smith 2012,"Lockhart, James. 1985. ‘Some Nahua concepts in postconquest guise.’ History of European Ideas 6 (4): 465–82. | Fargher, Lane, Richard E. Blanton and Verenice Y. Heredia Espinoza. 2010. ‘Egalitarian ideology and political power in prehispanic Central Mexico: the case of Tlaxcalan.’ Latin American Antiquity 21 (3): 227–51. | Smith, Michael E. 2012. The Aztecs (3rd edn). Oxford: Wiley-Blackwell."
M0010,S002,Cholula,Cholula,L3218,3218,3218,Chapter 9: Hiding in Plain Sight,chapter,9,"Motolinía confirms Cortés’s original observation: that Tlaxcala was indeed an indigenous republic governed not by a king, nor even by rotating office holders (as at Cholula), but by a council of elected officials (teuctli) answerable to the citizenry as a whole. Exactly how many sat on the high council of Tlaxcala is not clear: Spanish sources suggest any number from fifty to 200. Perhaps it depended on the matter at hand. Neither, unfortunately, does he tell us anything in detail about how these individuals were selected for office, or who was eligible (other Pueblan cities, including royal ones, rotated official duties among representatives of calpolli). On the topic of Tlaxcalteca modes of political training and instruction, however, Motolinía’s account comes alive.",,,,
