bibliography_key,reference_url,reference_url_kind
Algaze 1993,,scholar_search
Allsen 2016,,scholar_search
Alt 2018,,scholar_search
Ambrose 2003,https://doi.org/10.1016/s0278-4165(03)00036-9,doi
Anthony 2007,,scholar_search
Arbuckle 2013,https://doi.org/10.1016/j.jas.2012.12.008,doi
Ascher 2004,,scholar_search
Ashmore 2015,https://doi.org/10.1017/s095653611500019x,doi
Asouti 2006,https://doi.org/10.1007/s10963-007-9008-1,doi
Atkins 2002,,scholar_search
Aubert 2018,https://doi.org/10.1038/s41586-018-0679-9,doi
Ayad 2009,,scholar_search
Bagley 1999,https://doi.org/10.1017/chol9780521470308.005,doi
Bahrani 2002,https://doi.org/10.1515/9781575065281-004,doi
Baines 1995,https://doi.org/10.1163/9789004676701_010,doi
Baires 2014,,scholar_search
Balsera 2008,,scholar_search
Bamann 1992,https://doi.org/10.1146/annurev.anthro.21.1.435,doi
Bartash 2015,https://doi.org/10.1515/za-2015-0012,doi
Bellwood 2005,,scholar_search
Benson 2009,,scholar_search
Bestock 2008,https://doi.org/10.3406/arnil.2008.956,doi
Birch 2015,https://doi.org/10.1007/s10814-015-9082-3,doi
Blackburn 2000,,scholar_search
Blanton 1996,https://doi.org/10.1086/204471,doi
Blanton 1998,,scholar_search
Blau 1963,https://doi.org/10.2307/480694,doi
Bogaard 2014,,scholar_search
Brown 1990,,scholar_search
Buikstra 2004,,scholar_search
Burger 2011,https://doi.org/10.1179/naw.2011.31.2.123,doi
Butters 2005,,scholar_search
Byers 2006,,scholar_search
Campbell 2009,,scholar_search
Campbell 2014,,scholar_search
Cannadine 2001,,scholar_search
Canuto 2018,https://doi.org/10.1126/science.aau0137,doi
Carballo 2019,,scholar_search
Carr 2005,https://doi.org/10.1007/0-387-27327-1_7,doi
Chapman 2010,,scholar_search
Clendinnen 1991,,scholar_search
Cook 2017,,scholar_search
Coon 2009,https://doi.org/10.1017/s0002731600047508,doi
Cortés 1928,,scholar_search
Cowgill 1997,https://doi.org/10.1146/annurev.anthro.26.1.129,doi
Cowgill 2015,https://doi.org/10.1017/cbo9781139046817,doi
Crazzolara 1951,,scholar_search
Crema 2013,https://doi.org/10.1017/s0003598x00049930,doi
Croucher 2012,https://doi.org/10.1093/acprof:osobl/9780199693955.001.0001,doi
Davis 1995,,scholar_search
DeBoer 1993,,scholar_search
DeBoer 1997,,scholar_search
Deino 2018,https://doi.org/10.1126/science.aao2216,doi
Denevan 1992,,scholar_search
Denham 2003,https://doi.org/10.1126/science.1085255,doi
Dickson 2006,https://doi.org/10.1017/s0959774306000084,doi
Dietrich 2012,https://doi.org/10.1017/s0003598x00047840,doi
Dietrich 2019,https://doi.org/10.1371/journal.pone.0215214,doi
Domenici 2018,,scholar_search
Donald 1997,https://doi.org/10.1525/9780520918115,doi
Ellingson 2001,,scholar_search
Emerson 1997a,,scholar_search
Emerson 2007,https://doi.org/10.2307/j.ctv1n3x1fb.10,doi
